DATE,YMD,MJD,Source,Centre Freq,Log freq,Ott Flux density,Focus,HA,ZA,sec Z,X(Z),Dry Atmos transmission,Tamb,Humidity,PWV est,5GHz Zenith Tau @ 1400m,absorption at ZA,Radiometer,TND lcp,TND rcp,Tsys lcp,dTsys lcp,Tsys rcp,dTsys rcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp
2012d331_02h10m37s,,56257.09,HYDRA A,4800,3.681,13.556,4.6094,-15.4,19.98,1.064,1.063,0.9996,281.5,75.52,12.79,0.00732,1.00781,Dicke Switc,6.3,6,52.53,0.828,57.06,0.365,-0.561,-0.481,-1.116,1.002,1.127,6.013,0.436,0.572,0.47,1.094,1.003,1.106,6.129,0.427,-0.566,-0.47,-1.045,1.003,1.057,6.414,0.408,0.524,0.42,1.008,1.004,1.02,6.644,0.394
2012d335_01h54m36s,,56261.08,HYDRA A,4800,3.681,13.556,4.6094,-15.46,20.02,1.064,1.064,0.9996,288.8,64.89,17.42,0.00787,1.0084,Dicke Switc,6.3,6,51.57,1.311,57.59,0.359,-0.529,-0.485,-1.088,1.001,1.098,6.174,0.424,0.562,0.492,1.056,1.002,1.067,6.353,0.412,-0.521,-0.487,-1.039,1,1.048,6.466,0.405,0.544,0.441,0.992,1.004,1.005,6.747,0.388
2012d336_01h45m40s,,56262.07,HYDRA A,4800,3.681,13.556,4.5898,-16.72,20.9,1.07,1.07,0.9995,289.91,77.74,22.34,0.00845,1.00908,Dicke Switc,6.3,6,51.54,0.919,57.58,0.333,-0.53,-0.482,-1.094,1.001,1.104,6.137,0.427,0.573,0.468,1.051,1.004,1.064,6.369,0.411,-0.54,-0.486,-1.036,1.001,1.046,6.477,0.404,0.545,0.441,0.999,1.004,1.012,6.698,0.391
2012d337_01h45m26s,,56263.07,HYDRA A,4800,3.681,13.556,4.5996,-15.8,20.25,1.066,1.065,0.9995,288.16,81.35,20.99,0.00829,1.00887,Dicke Switc,6.3,6,53.61,0.723,57.99,0.417,-0.565,-0.495,-1.112,1.002,1.124,6.03,0.434,0.603,0.481,1.095,1.005,1.109,6.11,0.429,-0.541,-0.474,-1.049,1.002,1.06,6.392,0.41,0.54,0.445,0.992,1.003,1.005,6.747,0.388
2012d338_01h34m59s,,56264.06,HYDRA A,4800,3.681,13.549,4.5996,-17.43,21.41,1.074,1.073,0.9995,286.68,83.01,19.54,0.00812,1.00875,Dicke Switc,6.3,6,56.07,1.048,58.55,0.278,-0.573,-0.456,-1.122,1.005,1.137,5.96,0.439,0.599,0.449,1.086,1.008,1.104,6.136,0.427,-0.561,-0.443,-1.028,1.005,1.043,6.498,0.403,0.553,0.399,0.979,1.01,0.997,6.793,0.386
2012d339_01h33m28s,,56265.06,HYDRA A,4800,3.681,13.549,4.6094,-16.82,20.97,1.071,1.07,0.9995,285.66,83.01,18.33,0.00797,1.00857,Dicke Switc,6.3,6,57.13,0.948,58.8,0.345,-0.548,-0.556,-1.131,1,1.141,5.94,0.441,0.556,0.491,1.056,1.001,1.067,6.349,0.413,-0.509,-0.496,-1.013,1,1.022,6.629,0.395,0.519,0.429,0.963,1.003,0.974,,
2012d340_01h32m22s,,56266.06,HYDRA A,4800,3.681,13.549,4.5996,-16.1,20.47,1.067,1.067,0.9995,286.58,80.61,18.86,0.00804,1.00861, Dicke Switched ,6.3,6,54.51,0.847,56.89,0.226,-0.514,-0.518,-1.11,1,1.119,6.052,0.433,0.561,0.498,1.095,1.001,1.106,6.127,0.427,-0.515,-0.491,-1.009,1,1.018,6.653,0.394,0.509,0.452,0.973,1.001,0.983,6.891,0.38
2012d342_01h27m07s,,56268.06,HYDRA A,4800,3.681,13.549,4.5996,-15.4,20.02,1.064,1.064,0.9996,286.77,81.07,19.19,0.00807,1.00863, Dicke Switched ,6.3,6,,,,,-0.523,-0.48,-1.136,1.001,1.147,,,0.568,0.533,1.103,1,1.113,,,-0.495,-0.455,-1.023,1.001,1.032,,,0.517,0.447,0.973,1.002,0.983,,
2012d343_01h17m33s,,56269.05,HYDRA A,4800,3.681,13.549,4.5996,-16.8,21.01,1.071,1.071,0.9995,288.16,81.53,21.04,0.00829,1.00892, Dicke Switched ,6.3,6,52.8,0.831,57.72,0.35,-0.575,-0.512,-1.125,1.001,1.136,5.961,0.439,0.597,0.493,1.1,1.003,1.114,6.083,0.431,-0.535,-0.482,-1.03,1.001,1.04,6.515,0.402,0.552,0.438,0.969,1.005,0.983,6.895,0.38
2012d344_01h21m22s,,56270.05,HYDRA A,4800,3.681,13.549,4.5996,-14.9,19.66,1.062,1.061,0.9996,287.69,80.33,20.14,0.00819,1.00873, Dicke Switched ,6.3,6,53.61,0.607,57.48,0.345,-0.503,-0.533,-1.062,1,1.071,,,0.542,0.501,1.042,1.001,1.052,,,-0.521,-0.515,-1.034,1,1.043,,,0.524,0.457,0.996,1.002,1.006,,
