DATE,YMD,MJD,Source,Centre Freq,Log freq,Ott Flux density,Focus,HA,ZA,sec Z,X(Z),Dry Atmos transmission,Tamb,Humidity,PWV est,5GHz Zenith Tau @ 1400m,absorption at ZA,Radiometer,TND lcp,TND rcp,Tsys lcp,dTsys lcp,Tsys rcp,dTsys rcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp
2013d116_16h12m17s, 2013-04-26,56408.67,HYDRA A,4800,3.681,13.549,4.6289,-15.5,20.1,1.065,1.064,0.9996,290.282457,56.750118,16.68,0.00778,1.00831,Dicke Switc,6.3,6,51.71,0.408,54.65,1.176,-0.541,-0.4967632313,-1.116,1.001,1.126,6.015,0.435,0.571,0.503,1.085,1.001,1.096,6.183,0.424,bd,,,,,,,bd,,,,,,
2013d117_16h10m31s, 2013-04-27,56409.67,HYDRA A,4800,3.681,13.549,4.6094,-15,19.73,1.062,1.062,0.9996,291.577142,48.797052,15.51,0.00764,1.00814,Dicke Switc,6.3,6,51.04,0.928,57.86,1.597,-0.523,-0.5063754723,-1.118,1,1.128,6.007,0.436,0.556,0.494,1.084,1.001,1.095,6.189,0.423,bd,,,,,,,bd,,,,,,
2013d118_15h59m47s, 2013-04-28,56410.66,HYDRA A,4800,3.681,13.549,4.6289,-16.7,20.91,1.071,1.07,0.9995,291.299709,46.022727,14.39,0.00751,1.00806,Dicke Switc,6.3,6,52.02,0.717,53.6,0.887,-0.566,-0.4783969634,-1.122,1.003,1.134,5.975,0.438,0.594,0.473,1.091,1.005,1.105,6.129,0.427,bd,,,,,,,bd,,,,,,
2013d121_15h50m03s, 2013-05-01,56413.66,HYDRA A,4800,3.681,13.549,4.6289,-16.2,20.54,1.068,1.067,0.9995,290.005024,55.085522,15.92,0.00769,1.00824,Dicke Switc,6.3,6,52.02,0.416,53.35,2.178,-0.516,-0.5310070117,-1.118,1,1.127,6.011,0.436,0.553,0.524,1.086,1,1.096,6.184,0.424,bd,,,,,,,bd,,,,,,
2013d124_15h36m55s, 2013-05-04,56416.65,HYDRA A,4800,3.681,13.549,4.6094,-16.5,20.78,1.07,1.069,0.9995,288.062996,24.567945,6.3,0.00655,1.00703,Dicke Switc,6.3,6,53.9,0.429,52.7,0.947,-0.515,-0.5771815444,-1.15,1.001,1.159,5.843,0.448,0.54,0.55,1.123,1,1.131,5.992,0.437,-0.54,-0.591,-1.142,1.001,1.151,5.887,0.445,0.52,0.526,1.086,1,1.094,,
2013d125_15h35m54s, 2013-05-05,56417.65,HYDRA A,4800,3.681,13.549,4.6094,-15.8,20.27,1.066,1.065,0.9995,287.138221,33.26083,8.06,0.00676,1.00723,Dicke Switc,6.3,6,52.01,0.402,53.47,2.161,-0.525,-0.5241710293,-1.111,1,1.119,6.057,0.432,0.554,0.524,1.1,1,1.108,6.115,0.428,bd,,,,,,,bd,,,,,,
2013d126_15h37m08s, 2013-05-06,56418.65,HYDRA A,4800,3.681,13.549,4.6289,-14.5,19.39,1.06,1.059,0.9996,287.323176,48.704574,11.93,0.00722,1.00768,Dicke Switc,6.3,6,51.95,0.423,,2.729,-0.504,-0.5602120634,-1.115,1.001,1.124,6.025,0.435,0.528,0.542,1.087,1,1.096,6.183,0.424,bd,,,,,,,bd,,,,,,
2013d130_15h17m45s, 2013-05-10,56422.63,HYDRA A,4800,3.681,13.549,4.6289,-15.4,20.01,1.064,1.064,0.9996,293.056782,26.97236,9.37,0.00692,1.00738,Dicke Switc,6.3,6,54.37,0.368,61.8,2.064,-0.478,-0.5755579644,-1.111,1.003,1.123,6.033,0.434,0.511,0.527,1.084,1,1.092,6.205,0.422,,-0.6,-1.071,,,,,bd,,,,,,
2013d131_15h15m28s, 2013-05-11,56423.63,HYDRA A,4800,3.681,13.549,4.6289,-15,19.73,1.062,1.062,0.9996,289.172727,59.709398,16.4,0.00775,1.00826,Dicke Switc,6.3,6,54.28,0.581,56.58,0.331,-0.455,-0.586641042,-1.092,1.006,1.107,6.118,0.428,0.478,0.556,1.079,1.002,1.09,6.214,0.422,,,,,,,,0.461,0.536,1.013,1.002,1.023,6.619,0.396
2013d132_15h11m28s, 2013-05-12,56424.63,HYDRA A,4800,3.681,13.549,4.6094,-15,19.74,1.062,1.062,0.9996,290.652367,48.427142,14.56,0.00753,1.00803,Dicke Switc,6.3,6,,1.749,56.19,bd,bd,,bd,,,,,,,,,,,,bd,,,,,,,bd,,,,,,
2013d136_14h45m53s, 2013-05-16,56428.61,HYDRA A,4800,3.681,13.549,4.6289,-17.5,21.47,1.075,1.074,0.9995,292.871827,36.220111,12.44,0.00728,1.00785,Dicke Switc,6.3,6,55.05,0.502,56.9,0.414,-0.459,-0.5613374338,-1.1,1.004,1.112,6.09,0.43,0.487,0.546,1.088,1.001,1.097,6.173,0.424,-0.487,-0.596,-1.085,1.004,1.098,6.171,0.424,0.488,0.533,1.006,1.001,1.015,6.674,0.392
2013d137_14h42m03s, 2013-05-17,56429.61,HYDRA A,4800,3.681,13.549,4.6289,-17.5,21.45,1.074,1.074,0.9995,290.282457,53.143495,15.62,0.00765,1.00825,Dicke Switc,6.3,6,54.61,0.388,60.77,1.203,-0.371,-0.6612530199,-1.074,1.031,1.116,6.07,0.432,0.389,0.655,1.079,1.025,1.115,6.076,0.431,-0.425,-0.758,-1.167,1.031,1.213,,,0.414,0.694,1.14,1.024,1.177,,
2013d138_14h43m32s, 2013-05-18,56430.61,HYDRA A,4800,3.681,13.549,4.6289,-16.1,20.48,1.067,1.067,0.9995,290.652367,56.65764,17.03,0.00782,1.00838,Dicke Switc,6.3,6,54.89,0.389,56.62,0.717,-0.406,-0.6186227498,-1.101,1.016,1.128,6.007,0.436,0.446,0.599,1.097,1.008,1.115,6.077,0.431,-0.451,-0.653,-1.093,1.012,1.116,6.069,0.432,0.432,0.573,1.043,1.007,1.06,6.394,0.41
2013d139_14h41m31s, 2013-05-19,56431.61,HYDRA A,4800,3.681,13.549,4.6094,-15.6,20.15,1.065,1.065,0.9996,290.282457,52.496152,15.43,0.00763,1.00816,Dicke Switc,6.3,6,54.62,0.401,56.19,0.272,-0.426,-0.6002060797,-1.128,1.011,1.149,5.894,0.444,0.462,0.569,1.08,1.004,1.093,6.197,0.423,-0.429,-0.608,-1.06,1.011,1.081,6.268,0.418,0.464,0.538,1.039,1.002,1.049,6.456,0.406
2013d140_14h33m24s, 2013-05-20,56432.6,HYDRA A,4800,3.681,13.549,4.6094,-16.7,20.89,1.07,1.07,0.9995,292.039529,37.884706,12.38,0.00727,1.00781,Dicke Switc,6.3,6,54.31,0.298,60.94,1.711,-0.415,-0.6196799201,-1.085,1.015,1.109,6.108,0.429,0.438,0.597,1.074,1.009,1.091,6.207,0.422,-0.54,-0.663,-1.125,1.004,1.138,5.952,0.44,0.366,0.613,1.094,1.024,1.129,,
2013d141_14h28m08s, 2013-05-21,56433.6,HYDRA A,4800,3.681,13.549,4.6094,-17,21.13,1.072,1.071,0.9995,293.519169,29.006865,10.36,0.00703,1.00756,Dicke Switc,6.3,6,55.26,0.305,55.75,0.241,-0.432,-0.6233044115,-1.129,1.012,1.151,5.885,0.445,0.478,0.608,1.12,1.005,1.135,5.97,0.439,-0.434,-0.603,-1.058,1.01,1.077,6.293,0.416,0.453,0.556,1.043,1.004,1.055,6.419,0.408
2013d142_14h53m22s, 2013-05-22,56434.62,HYDRA A,4800,3.681,13.549,4.6289,-9.73,16.51,1.043,1.042,0.9997,291.022277,40.843986,12.56,0.00729,1.00763,Dicke Switc,6.3,6,54.38,0.332,57.07,0.637,-0.426,-0.6007621086,-1.11,1.011,1.13,5.993,0.437,0.494,0.567,1.071,1.002,1.081,6.265,0.418,-0.472,-0.622,-1.101,1.007,1.117,6.066,0.432,0.478,0.556,1.047,1.002,1.057,6.41,0.409
2013d143_14h52m12s, 2013-05-23,56435.62,HYDRA A,4800,3.681,13.549,4.6289,-9.04,16.16,1.041,1.041,0.9997,292.409439,28.729432,9.6,0.00694,1.00725,Dicke Switc,6.3,6,53.48,0.289,55.69,0.185,-0.434,-0.593922107,-1.093,1.009,1.111,6.098,0.43,0.463,0.568,1.071,1.004,1.083,6.255,0.419,-0.428,-0.582,-1.049,1.008,1.066,6.355,0.412,0.449,0.536,1.019,1.003,1.029,6.582,0.398
2013d144_14h59m12s, 2013-05-24,56436.62,HYDRA A,4800,3.681,13.549,4.6191,-6.29,14.96,1.035,1.034,0.9998,290.097502,36.035156,10.47,0.00705,1.00731,Dicke Switc,6.3,6,53.9,0.329,54.89,0.2,-0.456,-0.5903647519,-1.096,1.006,1.111,6.098,0.43,0.482,0.557,1.08,1.002,1.089,6.218,0.421,-0.473,-0.583,-1.053,1.004,1.065,6.361,0.412,0.461,0.535,1.009,1.002,1.019,6.651,0.394
2013d145_14h13m36s, 2013-05-25,56437.59,HYDRA A,4800,3.681,13.549,4.6094,-16.7,20.91,1.071,1.07,0.9995,294.351467,28.08209,10.54,0.00705,1.00758,Dicke Switc,6.3,6,55.38,0.441,55.54,0.193,-0.417,-0.6389886325,-1.109,1.017,1.136,5.961,0.439,0.469,0.626,1.116,1.007,1.133,5.981,0.438,-0.423,-0.631,-1.061,1.015,1.085,6.244,0.419,0.433,0.571,1.028,1.007,1.043,6.493,0.403
2013d146_14h09m19s, 2013-05-26,56438.59,HYDRA A,4800,3.681,13.549,4.6191,-16.8,20.97,1.071,1.07,0.9995,294.813855,22.440962,8.65,0.00683,1.00734,Dicke Switc,6.3,6,54.33,0.282,55.55,0.19,-0.403,-0.6259479695,-1.077,1.018,1.104,6.138,0.427,0.444,0.607,1.07,1.009,1.087,6.231,0.42,-0.405,-0.626,-1.038,1.017,1.063,6.371,0.411,0.432,0.57,1.021,1.007,1.036,6.54,0.401
2013d150_13h55m22s, 2013-05-30,56442.58,HYDRA A,4800,3.681,13.549,4.6094,-16.3,20.66,1.069,1.068,0.9995,296.201017,24.01308,10.04,0.00699,1.0075,Dicke Switc,6.3,6,,0.477,58.45,0.317,bd,,,,,,,bd,,,,,,,-0.42,-0.651,-1.049,1.017,1.075,6.303,0.416,0.415,0.591,1.056,1.011,1.076,,
2013d151_13h40m06s, 2013-05-31,56443.57,HYDRA A,4800,3.681,13.549,4.6094,-19.2,22.73,1.084,1.084,0.9994,296.385972,21.978574,9.29,0.00691,1.00751,Dicke Switc,6.3,6,55.53,0.439,59.01,0.436,-0.423,-0.6022597802,-1.083,1.011,1.103,6.141,0.427,0.455,0.585,1.071,1.006,1.085,6.241,0.42,-0.459,-0.632,-1.051,1.009,1.068,6.341,0.413,0.433,0.569,1.057,1.007,1.072,,
2013d152_13h47m53s, 2013-06-01,56444.57,HYDRA A,4800,3.681,13.549,4.6094,-16.2,20.59,1.068,1.068,0.9995,296.47845,27.249792,11.58,0.00718,1.00769,Dicke Switc,6.3,6,53.53,0.306,56.1,0.221,-0.428,-0.6379319944,-1.098,1.014,1.123,6.034,0.434,0.439,0.603,1.094,1.009,1.113,6.089,0.43,-0.43,-0.643,-1.034,1.015,1.057,6.407,0.409,0.407639659,0.557,1.022,1.009,1.039,6.518,0.402
2013d153_13h44m12s, 2013-06-02,56445.57,HYDRA A,4800,3.681,13.549,4.6094,-16.2,20.54,1.068,1.067,0.9995,295.923585,28.08209,11.56,0.00717,1.00769,Dicke Switc,6.3,6,54.24,0.35,56.1,0.705,-0.401,-0.65,-1.104,1.021,1.136,5.962,0.439,0.458,0.626,1.105,1.009,1.123,6.032,0.434,-0.412,-0.659,-1.081,1.02,1.112,6.094,0.43,0.434,0.58,1.012,1.008,1.028,6.591,0.397
2013d154_14h06m15s, 2013-06-03,56446.58,HYDRA A,4800,3.681,13.549,4.6289,-9.71,16.5,1.043,1.042,0.9997,294.166512,15.412671,5.72,0.00648,1.00678,Dicke Switc,6.3,6,53.38,0.351,54.4,0.259,-0.43,-0.643,-1.117,1.015,1.141,5.938,0.441,0.4676171637,0.614,1.097,1.007,1.112,6.091,0.43,-0.437,-0.63,-1.061,1.012,1.082,6.264,0.418,0.432,0.556,1.029,1.006,1.042,6.504,0.403
2013d157_13h23m02s, 2013-06-06,56449.55,HYDRA A,4800,3.681,13.549,4.6094,0,-17.5,1.049,1.048,0.9997,294.166512,20.868844,7.74,0.00672,1.00707,Dicke Switc,6.3,6,53.9,0.331,56.17,0.604,-0.416,-0.653,-1.101,1.018,1.129,5.998,0.437,0.4475260341,0.635,1.089,1.011,1.109,6.111,0.429,-0.43,-0.675,-1.084,1.019,1.112,6.093,0.43,0.451,0.6,1.047,1.007,1.062,6.378,0.411
2013d159_13h08m27s, 2013-06-08,56451.54,HYDRA A,4800,3.681,13.549,4.6094,0,-19.2,1.059,1.058,0.9996,294.906332,26.417495,10.24,0.00702,1.00745,Dicke Switc,6.3,6,,0.271,,1.43,bd,,,,,,,bd,,,,,,,bd,,,,,,,bd,,,,,,
2013d160_13h11m14s, 2013-06-09,56452.55,HYDRA A,4800,3.681,13.549,4.6094,0,-17.5,1.049,1.048,0.9997,285.381149,31.596235,6.86,0.00662,1.00696,Dicke Switc,6.3,6,,0.318,63.62,1.041,bd,,,,,,,bd,,,,,,,-0.369,-0.773,-1.113,1.051,1.177,,,0.391,0.728,1.083,1.036,1.129,,
2013d163_14h40m10s, 2013-06-12,56455.61,HYDRA A,4800,3.681,13.549,4.6094,-0.0195,7.66,1.009,1.008,0.9999,288.987772,33.815695,9.18,0.00689,1.00698,Dicke Switc,6.3,6,53.84,0.602,53.97,0.331,-0.486,-0.605,-1.137,1.004,1.15,5.889,0.445,0.51,0.562,1.141,1.001,1.15,5.891,0.445,-0.493,-0.614,-1.103,1.004,1.116,6.073,0.431,0.493,0.532,1.043,1.001,1.051,6.446,0.406
2013d164_12h55m58s, 2013-06-13,56456.54,HYDRA A,4800,3.681,13.549,4.6094,0.0195,-17.4,1.048,1.047,0.9997,294.351467,16.707356,6.27,0.00655,1.00688,Dicke Switc,6.3,6,53.64,0.747,53.2,0.229,-0.371,-0.669,-1.073,1.032,1.115,6.076,0.431,0.394,0.641,1.069,1.022,1.099,6.162,0.425,-0.39,-0.672,-1.021,1.027,1.056,6.417,0.408,0.384,0.609,1.007,1.019,1.033,6.557,0.399
2013d166_12h53m51s, 2013-06-15,56458.53,HYDRA A,4800,3.681,13.549,4.5996,0,-16,1.04,1.04,0.9997,292.409439,11.251183,3.76,0.00625,1.00652,Dicke Switc,6.3,6,52.9,0.747,54.25,0.691,-0.403,-0.646,-1.084,1.02,1.113,6.087,0.43,0.431,0.63,1.057,1.013,1.078,6.285,0.417,-0.437,-0.681,-1.089,1.018,1.116,6.071,0.431,0.431,0.643,1.06,1.014,1.082,,
2013d167_13h29m56s, 2013-06-16,56459.56,HYDRA A,4800,3.681,13.549,4.6289,0,-6,1.006,1.005,1,290.005024,40.751509,11.78,0.0072,1.00726,Dicke Switc,6.3,6,52.37,0.602,51.47,0.236,-0.38,-0.662,-1.065,1.028,1.103,6.14,0.427,0.393,0.66,1.049,1.024,1.083,6.256,0.419,-0.393,-0.665,-1.043,1.025,1.077,6.292,0.416,0.381,0.608,0.989,1.02,1.016,6.665,0.393
2013d168_14h26m52s, 2013-06-17,56460.6,HYDRA A,4800,3.681,13.549,4.6094,0,9.25,1.013,1.013,0.9999,290.189979,34.647993,10.13,0.00701,1.00712,Dicke Switc,6.3,6,53.51,0.773,52.3,0.237,-0.424,-0.655,-1.125,1.017,1.153,5.877,0.446,0.444,0.606,1.086,1.009,1.104,6.137,0.427,-0.427,-0.646,-1.052,1.015,1.075,6.299,0.416,0.419,0.556,1.006,1.007,1.02,6.639,0.395
2013d172_13h31m02s, 2013-06-21,56464.56,HYDRA A,4800,3.681,13.549,4.6094,0.0195,-0.8,1,0.999,1,292.316962,25.955107,8.63,0.00683,1.00685,Dicke Switc,6.3,6,54.14,0.673,53.32,0.335,-0.384,-0.645,-1.082,1.024,1.116,6.071,0.431,0.41,0.608,1.083,1.014,1.106,6.126,0.428,-0.414,-0.656,-1.065,1.019,1.093,6.201,0.422,0.432,0.594,1.047,1.009,1.064,6.368,0.411
2013d173_12h22m32s, 2013-06-22,56465.51,HYDRA A,4800,3.681,13.549,4.6094,0,-16.9,1.045,1.045,0.9997,294.074035,22.348484,8.25,0.00678,1.00711,Dicke Switc,6.3,6,55.24,0.838,52.11,0.156,-0.463,-0.583,-1.108,1.005,1.122,6.04,0.434,0.496,0.572,1.098,1.002,1.107,6.117,0.428,-0.46,-0.579,-1.044,1.005,1.056,6.413,0.408,0.468,0.528,1.028,1.001,1.036,6.537,0.401
2013d174_13h18m33s, 2013-06-23,56466.55,HYDRA A,4800,3.681,13.549,4.5996,-0.0195,-1.95,1.001,1,1,290.559889,33.815695,10.11,0.007,1.00703,Dicke Switc,6.3,6,54.34,0.772,51.95,0.29,-0.396,-0.678,-1.108,1.026,1.145,5.918,0.443,0.418,0.634,1.104,1.016,1.129,6,0.437,-0.399,-0.66,-1.041,1.023,1.072,6.317,0.415,0.395,0.585,0.993,1.014,1.014,6.681,0.392
2013d194_11h57m15s, 2013-07-13,56486.49,HYDRA A,4800,3.681,13.549,4.6289,0,-2.62,1.001,1,1,291.392187,30.578983,9.61,0.00694,1.00697,Dicke Switc,6.3,6,50.73,0.179,49.08,0.275,-0.442,-0.65,-1.095,1.014,1.117,6.063,0.432,0.446,0.607,1.05,1.009,1.066,6.353,0.412,-0.453,-0.682,-1.11,1.015,1.135,5.968,0.439,0.463,0.594,1.054,1.006,1.067,,
2013d195_12h18m20s, 2013-07-14,56487.51,HYDRA A,4800,3.681,13.549,4.6094,0,3.64,1.002,1.001,1,291.854574,22.348484,7.22,0.00666,1.00669,Dicke Switc,6.3,6,51.12,0.162,49.34,0.338,-0.455,-0.63,-1.12,1.01,1.138,5.95,0.44,0.473,0.578,1.064,1.004,1.075,6.301,0.416,-0.489,-0.679,-1.128,1.01,1.147,5.907,0.443,0.457,0.584,1.029,1.005,1.042,6.503,0.403
2013d197_12h29m51s, 2013-07-16,56489.52,HYDRA A,4800,3.681,13.549,4.6094,0,8.5,1.011,1.01,0.9999,293.056782,28.174567,9.79,0.00697,1.00706,Dicke Switc,6.3,6,50.65,0.144,49.08,0.17,-0.445,-0.64,-1.115,1.012,1.136,5.963,0.439,0.473,0.606,1.067,1.005,1.081,6.27,0.418,-0.468,-0.667,-1.103,1.011,1.124,6.029,0.434,0.463,0.572,1.036,1.004,1.048,6.464,0.405
2013d199_11h29m00s, 2013-07-18,56491.47,HYDRA A,4800,3.681,13.549,4.6289,0,-4.77,1.003,1.003,1,289.357682,46.207682,12.84,0.00733,1.00737,Dicke Switc,6.3,6,50.62,0.129,48.33,0.22,-0.405,-0.661,-1.108,1.022,1.141,5.937,0.441,0.424,0.629,1.06,1.014,1.083,6.255,0.419,-0.424,-0.669,-1.087,1.019,1.115,6.073,0.431,0.421,0.595,1.015,1.011,1.033,6.558,0.399
2013d200_12h11m07s, 2013-07-19,56492.5,HYDRA A,4800,3.681,13.549,4.6289,0,6.76,1.007,1.006,1,290.282457,41.213896,12.11,0.00724,1.00731,Dicke Switc,6.3,6,50.61,0.179,48.16,0.181,-0.387,-0.669,-1.098,1.027,1.137,5.96,0.439,0.423,0.63,1.042,1.014,1.065,6.362,0.412,-0.402,-0.689,-1.058,1.027,1.095,6.189,0.423,0.409,0.594,1.022,1.013,1.042,6.5,0.403
2013d201_10h39m52s, 2013-07-20,56493.44,HYDRA A,4800,3.681,13.549,4.6191,0.0195,-15.1,1.036,1.035,0.9998,290.837322,24.937855,7.58,0.0067,1.00696,Dicke Switc,6.3,6,51.04,0.152,48.29,0.197,-0.425,-0.647,-1.096,1.016,1.121,6.041,0.434,0.467,0.627,1.079,1.008,1.095,6.187,0.423,-0.435,-0.662,-1.074,1.016,1.098,6.167,0.425,0.444,0.594,1.029,1.008,1.044,6.488,0.404
2013d202_10h27m43s, 2013-07-21,56494.43,HYDRA A,4800,3.681,13.549,4.6191,0.0195,-17.1,1.046,1.046,0.9997,289.635114,23.180782,6.55,0.00658,1.00691,Dicke Switc,6.3,6,,0.5,48.49,0.215,-0.434,-0.778,-1.246,1.031,1.294,,,0.465,0.721,1.187,1.018,1.217,,,-0.406,-0.702,-1.09,1.027,1.127,6.01,0.436,0.402,0.606,1.014,1.015,1.037,6.535,0.401
2013d203_11h23m02s, 2013-07-22,56495.47,HYDRA A,4800,3.681,13.549,4.6289,0,-2.33,1.001,1,1,288.340429,43.340879,11.31,0.00714,1.00717,Dicke Switc,6.3,6,50.9,0.134,47.83,0.14,-0.434,-0.669,-1.145,1.017,1.173,5.773,0.454,0.439,0.645,1.079,1.013,1.102,6.15,0.426,-0.446,-0.655,-1.076,1.013,1.098,6.17,0.425,0.411,0.598,1.015,1.013,1.035,6.545,0.4
2013d207_10h08m54s, 2013-07-26,56499.42,HYDRA A,4800,3.681,13.549,4.6094,0,-16.9,1.045,1.045,0.9997,292.964304,24.105557,8.33,0.00679,1.00712,Dicke Switc,6.3,6,50.83,0.15,47.94,0.153,-0.455,-0.601,-1.108,1.007,1.124,6.027,0.435,0.475,0.579,1.071,1.004,1.082,6.26,0.418,-0.464,-0.617,-1.076,1.007,1.091,6.207,0.422,0.446,0.54,1.022,1.003,1.032,6.562,0.399
2013d208_10h45m46s, 2013-07-27,56500.44,HYDRA A,4800,3.681,13.549,4.6094,0,-6.74,1.007,1.006,1,294.443945,19.759114,7.45,0.00669,1.00675,Dicke Switc,6.3,6,51.19,0.172,48.08,0.167,-0.478,-0.626,-1.14,1.007,1.155,5.866,0.447,0.488,0.583,1.092,1.003,1.103,6.142,0.426,-0.49,-0.618,-1.084,1.005,1.096,6.179,0.424,0.456,0.537,1.023,1.002,1.032,6.564,0.399
2013d209_10h03m59s, 2013-07-28,56501.42,HYDRA A,4800,3.681,13.549,4.6094,0,-16.2,1.041,1.041,0.9997,294.99881,17.169744,6.69,0.0066,1.00689,Dicke Switc,6.3,6,51.34,0.162,48.48,0.132,-0.458,-0.621,-1.12,1.008,1.137,5.956,0.44,0.499,0.592,1.086,1.003,1.097,6.178,0.424,-0.465,-0.611,-1.077,1.007,1.091,6.207,0.422,0.482,0.545,1.027,1.001,1.036,6.541,0.4
2013d210_10h41m41s, 2013-07-29,56502.44,HYDRA A,4800,3.681,13.549,4.6191,0,-5.8,1.005,1.005,1,290.467412,10.788796,3.21,0.00619,1.00624,Dicke Switc,6.3,6,51.25,0.186,48.07,0.181,-0.433,-0.638,-1.137,1.014,1.16,5.841,0.448,0.484,0.613,1.1,1.005,1.112,6.091,0.43,-0.431,-0.631,-1.076,1.013,1.097,6.177,0.424,0.458,0.571,1.045,1.004,1.056,6.414,0.408
2013d211_10h01m11s, 2013-07-30,56503.41,HYDRA A,4800,3.681,13.549,4.6094,0,-14.9,1.035,1.034,0.9998,286.490879,63.316021,14.73,0.00755,1.00784,Dicke Switc,6.3,6,51.44,0.171,48.16,0.15,-0.395,-0.685,-1.114,1.028,1.154,,,0.421,0.667,1.086,1.019,1.115,,,-0.405,-0.698,-1.108,1.027,1.147,,,0.394,0.603,1.087,1.016,1.114,,
2013d213_09h42m53s, 2013-08-01,56505.4,HYDRA A,4800,3.681,13.549,4.6191,0,-17.5,1.049,1.048,0.9997,287.600609,45.745294,11.4,0.00716,1.00753,Dicke Switc,6.3,6,51.67,0.154,48.11,0.168,-0.426,bd,-1.119,1.027,1.158,5.85,0.448,0.427,bd,1.092,1.022,1.124,6.025,0.435,-0.43,bd,-1.083,1.019,1.113,6.089,0.43,0.415,bd,1.018,1.015,1.041,6.508,0.402
2013d214_09h50m48s, 2013-08-02,56506.41,HYDRA A,4800,3.681,13.549,4.6191,0,-14.6,1.033,1.033,0.9998,288.062996,51.201467,13.14,0.00736,1.00763,Dicke Switc,6.3,6,51.43,0.186,48.24,0.154,bd,,,,,,,bd,,,,,,,bd,,,,,,,bd,,,,,,
2013d215_09h44m00s, 2013-08-03,56507.4,HYDRA A,4800,3.681,13.549,4.6191,0,-15.3,1.037,1.036,0.9997,288.062996,48.889529,12.54,0.00729,1.00758,Dicke Switc,6.3,6,,0.29,48.26,0.172,bd,,,,,,,bd,,,,,,,-0.449,-0.669,-1.094,1.014,1.118,6.06,0.432,0.429,0.603,1.029,1.01,1.048,6.463,0.405
2013d216_09h39m20s, 2013-08-04,56508.4,HYDRA A,4800,3.681,13.549,4.6191,0,-15.5,1.038,1.037,0.9997,287.508131,46.762547,11.59,0.00718,1.00747,Dicke Switc,6.3,6,51.64,0.245,48.08,0.188,-0.42,-0.698,-1.138,1.024,1.174,5.771,0.454,0.449,0.637,1.087,1.011,1.107,6.118,0.428,-0.442,-0.69,-1.072,1.018,1.099,6.164,0.425,0.425,0.6,1.022,1.011,1.041,6.51,0.402
2013d219_10h00m44s, 2013-08-07,56511.41,HYDRA A,4800,3.681,13.549,4.6289,0,-7.19,1.008,1.007,0.9999,290.282457,36.774976,10.81,0.00709,1.00716,Dicke Switc,6.3,6,50.61,0.172,47.95,0.182,-0.406,-0.671,-1.093,1.023,1.126,6.017,0.435,0.433,0.613,1.075,1.011,1.095,6.188,0.423,-0.43,-0.688,-1.071,1.02,1.1,6.156,0.425,0.423,0.587,1.018,1.01,1.035,6.545,0.4
2013d220_09h08m12s, 2013-08-08,56512.38,HYDRA A,4800,3.681,13.549,4.6289,0.0391,-19.3,1.06,1.059,0.9996,291.299709,34.832948,10.89,0.0071,1.00754,Dicke Switc,6.3,6,50.82,0.133,48.43,0.167,-0.441,-0.659,-1.098,1.015,1.122,6.036,0.434,0.469,0.614,1.071,1.007,1.086,6.236,0.42,-0.459,-0.664,-1.085,1.012,1.107,6.12,0.428,0.451,0.586,1.027,1.006,1.041,6.509,0.402
2013d222_09h18m07s, 2013-08-10,56514.38,HYDRA A,4800,3.681,13.549,4.6289,0,-14.9,1.035,1.034,0.9998,287.970519,51.10899,13.04,0.00735,1.00763,Dicke Switc,6.3,6,50.52,0.135,47.9,0.14,-0.445,-0.652,-1.11,1.013,1.133,5.981,0.438,0.457,0.614,1.07,1.008,1.087,6.234,0.42,-0.464,-0.666,-1.112,1.012,1.133,5.978,0.438,0.444,0.569,1.068,1.006,1.082,,
2013d223_09h07m12s, 2013-08-11,56515.38,HYDRA A,4800,3.681,13.549,4.6289,0,-16.6,1.043,1.043,0.9997,287.600609,62.761156,15.65,0.00766,1.00802,Dicke Switc,6.3,6,51.71,0.253,48.12,0.14,-0.41,-0.697,-1.122,1.026,1.16,5.842,0.448,0.434,0.678,1.091,1.018,1.12,6.048,0.433,-0.413,-0.693,-1.073,1.024,1.108,6.117,0.428,0.416,0.628,1.005,1.015,1.028,6.587,0.398
2013d230_10h44m06s, 2013-08-18,56522.44,HYDRA A,4800,3.681,13.549,4.6289,-0.0195,14.52,1.033,1.032,0.9998,291.207232,19.296727,6,0.00652,1.00675,Dicke Switc,6.3,6,51.29,0.233,48.43,0.132,-0.435,-0.682,-1.117,1.018,1.145,5.917,0.443,0.447,0.589,1.044,1.007,1.058,6.402,0.409,-0.451,-0.69,-1.087,1.016,1.112,6.092,0.43,0.436,0.553,1.007,1.005,1.019,6.651,0.394
